experiment_name,start_time,backend,batch_size,centers_size_gb,components_size_gb,cuml_accel_active,cuml_accel_error,cuml_accel_install_called,dataset,device,effective_batch_size,explained_variance_pct,inertia,inp,input_dims,input_dims_to_kmeans,input_n_components,input_n_components_to_umap,input_size_gb,k,kmeans_minutes,kmeans_purity,kmeans_seconds,labels_size_gb,layer_num,max_iter,mem_input_gb,mem_output_gb,mem_total_gb,memory_estimate_input_size_gb,memory_estimate_output_size_gb,memory_estimate_total_gb,metric,min_dist,n_components,n_features,n_neighbors,n_samples,nmi,original_pca_n_components_before_slice,out,out_dir,output_size_gb,pc1_pc2_cum_variance_pct,pc1_variance_pct,pc2_variance_pct,pca2d_seconds,pca_components_size_gb,pca_explained_variance_pct,pca_input_size_gb,pca_output_size_gb,pca_path,pca_seconds,pca_total_gpu_gb,precision,purity,random_state,reduction_type,save_every,silhouette_2d,silhouette_2d_euclidean,skipped_n_components,source_path,split,total_gb,total_gpu_gb,umap_duration_seconds,umap_metric,umap_minutes,umap_n_neighbors,umap_seconds,umap_source_reduction_type,zca_components_size_gb,zca_explained_variance_pct,zca_input_size_gb,zca_output_size_gb,zca_seconds,zca_total_gpu_gb
kmeans_on_umap_from_sliced_s15,2025-06-05 02:35:58.762,gpu,,2.2351741790771484e-08,,,,,,,,,1322261.5,,,2,,35,0.004098951816558838,3,0.004198152333265171,,0.2518891399959102,0.002049475908279419,11,300,,,,,,,,,,,,,0.0002877895345756923,50,,,,,,,,,,,,,,,,0.34269801800229754,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:35:21.767,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,manhattan,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/pca_snli_50_layer11_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,17.70368064098875,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:34:45.939,gpu,,2.2351741790771484e-08,,,,,,,,,1522671.75,,,2,,35,0.004098951816558838,3,0.0041140283001974845,,0.24684169801184908,0.002049475908279419,11,300,,,,,,,,,,,,,0.0005601975708767807,50,,,,,,,,,,,,,,,,0.34596438802367346,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:34:07.188,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/pca_snli_50_layer11_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,19.236918114998844,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:33:31.458,gpu,,2.2351741790771484e-08,,,,,,,,,1775394.0,,,2,,35,0.004098951816558838,3,0.005000159099775677,,0.3000095459865406,0.002049475908279419,11,300,,,,,,,,,,,,,0.00019978892785008388,50,,,,,,,,,,,,,,,,0.3401078247466155,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:32:59.106,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,manhattan,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/pca_snli_50_layer11_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,13.27435583100305,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:32:22.966,gpu,,2.2351741790771484e-08,,,,,,,,,2024586.875,,,2,,35,0.004098951816558838,3,0.002753335050268409,,0.16520010301610455,0.002049475908279419,11,300,,,,,,,,,,,,,0.0003597322059660646,50,,,,,,,,,,,,,,,,0.34258168651572657,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:31:52.610,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/pca_snli_50_layer11_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,10.897202238993486,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:31:10.821,gpu,,2.2351741790771484e-08,,,,,,,,,1217265.875,,,2,,35,0.004098951816558838,3,0.0024273789667252762,,0.14564273800351657,0.002049475908279419,11,300,,,,,,,,,,,,,0.00013918138220538092,50,,,,,,,,,,,,,,,,0.338826360714857,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:30:34.092,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/zca_snli_50_layer11_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,17.415909056988312,,,,,,,
